lemma	gender	article	opposite_gender_word	source	notes
abdicación	f	la		doozan/es-en.data	wiktionary-gender
abdicador	m	el		doozan/es-en.data	meta-f=+
abdomen	m	el		doozan/es-en.data	wiktionary-gender
abdominal	m	el		doozan/es-en.data	wiktionary-gender
abdominales	m	el		doozan/es-en.data	wiktionary-gender
abdominoplastia	f	la		doozan/es-en.data	wiktionary-gender
abducción	f	la		doozan/es-en.data	wiktionary-gender
abductor	m	el		doozan/es-en.data	wiktionary-gender
abecedariano	m	el	abecedariana	doozan/es-en.data	meta-f=+
abecedario	m	el		doozan/es-en.data	wiktionary-gender
abecé	m	el		doozan/es-en.data	wiktionary-gender
abedul	m	el		doozan/es-en.data	wiktionary-gender
abedular	m	el		doozan/es-en.data	wiktionary-gender
abeja	f	la		doozan/es-en.data	wiktionary-gender
abejar	m	el		doozan/es-en.data	wiktionary-gender
abejarrón	m	el		doozan/es-en.data	wiktionary-gender
abejaruco	m	el		doozan/es-en.data	wiktionary-gender
abejero	m	el	abejera	doozan/es-en.data	meta-f=+
abejita	f	la		doozan/es-en.data	wiktionary-gender
abejorro	m	el		doozan/es-en.data	wiktionary-gender
abejón	m	el		doozan/es-en.data	wiktionary-gender
abelisáurido	m	el		doozan/es-en.data	wiktionary-gender
abelmosco	m	el		doozan/es-en.data	wiktionary-gender
abelonita	mf	el/la		doozan/es-en.data	wiktionary-gender
abencerraje	m	el		doozan/es-en.data	wiktionary-gender
abenuz	m	el		doozan/es-en.data	wiktionary-gender
aberración	f	la		doozan/es-en.data	wiktionary-gender
abertal	m	el		doozan/es-en.data	wiktionary-gender
abertura	f	la		doozan/es-en.data	wiktionary-gender
abertzale	mf	el/la		doozan/es-en.data	wiktionary-gender
abertzalismo	m	el		doozan/es-en.data	wiktionary-gender
abetal	m	el		doozan/es-en.data	wiktionary-gender
abete	m	el		doozan/es-en.data	wiktionary-gender
abeto	m	el		doozan/es-en.data	wiktionary-gender
abiar	m	el		doozan/es-en.data	wiktionary-gender
abierto	m	el		doozan/es-en.data	wiktionary-gender
abigarramiento	m	el		doozan/es-en.data	wiktionary-gender
abigeato	m	el		doozan/es-en.data	wiktionary-gender
abigeo	m	el		doozan/es-en.data	wiktionary-gender
abiogénesis	f	la		doozan/es-en.data	wiktionary-gender
abipón	m	el		doozan/es-en.data	meta-f=+
abiraterona	f	la		doozan/es-en.data	wiktionary-gender
abisinio	m	el	abisinia	doozan/es-en.data	meta-f=+
abismo	m	el		doozan/es-en.data	wiktionary-gender
abispa	f	la		doozan/es-en.data	wiktionary-gender
abivas	f	la		doozan/es-en.data	wiktionary-gender
abiyanés	m	el		doozan/es-en.data	meta-f=+
abjad	m	el		doozan/es-en.data	wiktionary-gender
abjasio	m	el	abjasia	doozan/es-en.data	meta-f=+
abjaso	m	el		doozan/es-en.data	wiktionary-gender
abjuración	f	la		doozan/es-en.data	wiktionary-gender
ablación	f	la		doozan/es-en.data	wiktionary-gender
ablandador	m	el		doozan/es-en.data	wiktionary-gender
ablandamiento	m	el		doozan/es-en.data	wiktionary-gender
ablativo	m	el		doozan/es-en.data	wiktionary-gender
ablución	f	la		doozan/es-en.data	wiktionary-gender
abnegación	f	la		doozan/es-en.data	wiktionary-gender
abobra	f	la		doozan/es-en.data	wiktionary-gender
abodrita	mf	el/la		doozan/es-en.data	wiktionary-gender
abogacía	f	la		doozan/es-en.data	wiktionary-gender
abogadillo	m	el		doozan/es-en.data	wiktionary-gender
abogadita	f	la		doozan/es-en.data	wiktionary-gender
abogado	m	el	abogada	doozan/es-en.data	meta-f=+
abogalla	f	la		doozan/es-en.data	wiktionary-gender
abogánster	mf	el/la		doozan/es-en.data	wiktionary-gender
abolengo	m	el		doozan/es-en.data	wiktionary-gender
abolicionismo	m	el		doozan/es-en.data	wiktionary-gender
abolicionista	mf	el/la		doozan/es-en.data	wiktionary-gender
abolición	f	la		doozan/es-en.data	wiktionary-gender
abolladura	f	la		doozan/es-en.data	wiktionary-gender
abomaso	m	el		doozan/es-en.data	wiktionary-gender
abombamiento	m	el		doozan/es-en.data	wiktionary-gender
abominación	f	la		doozan/es-en.data	wiktionary-gender
abonado	m	el		doozan/es-en.data	wiktionary-gender
abonaré	m	el		doozan/es-en.data	wiktionary-gender
abonero	m	el	abonera	doozan/es-en.data	meta-f=+
abono	m	el		doozan/es-en.data	wiktionary-gender
abordador	m	el		doozan/es-en.data	meta-f=+
abordaje	m	el		doozan/es-en.data	wiktionary-gender
abordamiento	m	el		doozan/es-en.data	wiktionary-gender
abordo	m	el		doozan/es-en.data	wiktionary-gender
aborigen	mf	el/la		doozan/es-en.data	wiktionary-gender
aboriginal	mf	el/la		doozan/es-en.data	wiktionary-gender
aborrecimiento	m	el		doozan/es-en.data	wiktionary-gender
abortadura	f	la		doozan/es-en.data	wiktionary-gender
abortismo	m	el		doozan/es-en.data	wiktionary-gender
abortista	mf	el/la		doozan/es-en.data	wiktionary-gender
aborto	m	el		doozan/es-en.data	wiktionary-gender
abortorio	m	el		doozan/es-en.data	wiktionary-gender
abortón	m	el		doozan/es-en.data	wiktionary-gender
abotagamiento	m	el		doozan/es-en.data	wiktionary-gender
abotargamiento	m	el		doozan/es-en.data	wiktionary-gender
abotonadura	f	la		doozan/es-en.data	wiktionary-gender
abovedamiento	m	el		doozan/es-en.data	wiktionary-gender
abr	m	el		doozan/es-en.data	wiktionary-gender
abra	f	la		doozan/es-en.data	wiktionary-gender
abracejo	m	el		doozan/es-en.data	wiktionary-gender
abrasivo	m	el		doozan/es-en.data	wiktionary-gender
abrasión	f	la		doozan/es-en.data	wiktionary-gender
abrazadera	f	la		doozan/es-en.data	wiktionary-gender
abrazo	m	el		doozan/es-en.data	wiktionary-gender
abrazote	m	el		doozan/es-en.data	wiktionary-gender
abreboca	m	el		doozan/es-en.data	wiktionary-gender
abrebotellas	m	el		doozan/es-en.data	wiktionary-gender
abrecartas	m	el		doozan/es-en.data	wiktionary-gender
abrefácil	m	el		doozan/es-en.data	wiktionary-gender
abrelatas	m	el		doozan/es-en.data	wiktionary-gender
abrenunciación	f	la		doozan/es-en.data	wiktionary-gender
abrepuertas	m	el		doozan/es-en.data	wiktionary-gender
abreuense	mf	el/la		doozan/es-en.data	wiktionary-gender
abrevadero	m	el		doozan/es-en.data	wiktionary-gender
abreviación	f	la		doozan/es-en.data	wiktionary-gender
abreviador	m	el		doozan/es-en.data	wiktionary-gender
abreviamiento	m	el		doozan/es-en.data	wiktionary-gender
abreviatura	f	la		doozan/es-en.data	wiktionary-gender
abridor	m	el		doozan/es-en.data	meta-f=+
abrigadero	m	el		doozan/es-en.data	wiktionary-gender
abrigaño	m	el		doozan/es-en.data	wiktionary-gender
abrigo	m	el		doozan/es-en.data	wiktionary-gender
abriguito	m	el		doozan/es-en.data	wiktionary-gender
abril	m	el		doozan/es-en.data	wiktionary-gender
abrillantador	m	el		doozan/es-en.data	wiktionary-gender
abrillantadora	f	la		doozan/es-en.data	wiktionary-gender
abrillantamuebles	m	el		doozan/es-en.data	wiktionary-gender
abrimiento	m	el		doozan/es-en.data	wiktionary-gender
abrir	m	el		doozan/es-en.data	wiktionary-gender
abrita	f	la		doozan/es-en.data	wiktionary-gender
abrochador	m	el		doozan/es-en.data	wiktionary-gender
abrochadora	f	la		doozan/es-en.data	wiktionary-gender
abrodita	mf	el/la		doozan/es-en.data	wiktionary-gender
abrogación	f	la		doozan/es-en.data	wiktionary-gender
abrojal	m	el		doozan/es-en.data	wiktionary-gender
abrojo	m	el		doozan/es-en.data	wiktionary-gender
abrotación	f	la		doozan/es-en.data	wiktionary-gender
abrucés	m	el		doozan/es-en.data	meta-f=+
abrótano	m	el		doozan/es-en.data	wiktionary-gender
abs	m	el		doozan/es-en.data	wiktionary-gender
absceso	m	el		doozan/es-en.data	wiktionary-gender
abscisa	f	la		doozan/es-en.data	wiktionary-gender
abscisión	f	la		doozan/es-en.data	wiktionary-gender
absencia	f	la		doozan/es-en.data	wiktionary-gender
absenta	f	la		doozan/es-en.data	wiktionary-gender
absentismo	m	el		doozan/es-en.data	wiktionary-gender
absentista	mf	el/la		doozan/es-en.data	wiktionary-gender
absidiola	f	la		doozan/es-en.data	wiktionary-gender
absidiolo	m	el		doozan/es-en.data	wiktionary-gender
absintina	f	la		doozan/es-en.data	wiktionary-gender
absintio	m	el		doozan/es-en.data	wiktionary-gender
absolución	f	la		doozan/es-en.data	wiktionary-gender
absolutismo	m	el		doozan/es-en.data	wiktionary-gender
absolutista	mf	el/la		doozan/es-en.data	wiktionary-gender
absolutivo	m	el		doozan/es-en.data	wiktionary-gender
absorbancia	f	la		doozan/es-en.data	wiktionary-gender
absorbedor	m	el		doozan/es-en.data	wiktionary-gender
absorbencia	f	la		doozan/es-en.data	wiktionary-gender
absorbente	m	el		doozan/es-en.data	wiktionary-gender
absorbimiento	m	el		doozan/es-en.data	wiktionary-gender
absorción	f	la		doozan/es-en.data	wiktionary-gender
absortividad	f	la		doozan/es-en.data	wiktionary-gender
abstemio	m	el	abstemia	doozan/es-en.data	meta-f=+
abstencionismo	m	el		doozan/es-en.data	wiktionary-gender
abstencionista	mf	el/la		doozan/es-en.data	wiktionary-gender
abstención	f	la		doozan/es-en.data	wiktionary-gender
abstergente	m	el		doozan/es-en.data	wiktionary-gender
abstersión	f	la		doozan/es-en.data	wiktionary-gender
abstinencia	f	la		doozan/es-en.data	wiktionary-gender
abstraccionismo	m	el		doozan/es-en.data	wiktionary-gender
abstraccionista	mf	el/la		doozan/es-en.data	wiktionary-gender
abstracción	f	la		doozan/es-en.data	wiktionary-gender
absurdidad	f	la		doozan/es-en.data	wiktionary-gender
absurdismo	m	el		doozan/es-en.data	wiktionary-gender
absurdo	m	el		doozan/es-en.data	wiktionary-gender
abu	mf	el/la		doozan/es-en.data	wiktionary-gender
abubilla	f	la		doozan/es-en.data	wiktionary-gender
abucheo	m	el		doozan/es-en.data	wiktionary-gender
abue	mf	el/la		doozan/es-en.data	wiktionary-gender
abuela	f	la	abuelo	doozan/es-en.data	meta-m=+
abuelastra	f	la		doozan/es-en.data	wiktionary-gender
abuelastro	m	el	abuelastra	doozan/es-en.data	meta-f=+
abuelidad	f	la		doozan/es-en.data	wiktionary-gender
abuelita	f	la	abuelito	doozan/es-en.data	meta-m=+
abuelito	m	el	abuelita	doozan/es-en.data	meta-f=+
abuelo	m	el	abuela	doozan/es-en.data	meta-f=+
abuelos	m	el		doozan/es-en.data	wiktionary-gender
abulense	mf	el/la		doozan/es-en.data	wiktionary-gender
abulia	f	la		doozan/es-en.data	wiktionary-gender
abultamiento	m	el		doozan/es-en.data	wiktionary-gender
abulón	m	el		doozan/es-en.data	wiktionary-gender
abundamiento	m	el		doozan/es-en.data	wiktionary-gender
abundancia	f	la		doozan/es-en.data	wiktionary-gender
aburguesamiento	m	el		doozan/es-en.data	wiktionary-gender
aburrición	f	la		doozan/es-en.data	wiktionary-gender
aburrimiento	m	el		doozan/es-en.data	wiktionary-gender
abusador	m	el		doozan/es-en.data	meta-f=+
abusividad	f	la		doozan/es-en.data	wiktionary-gender
abuso	m	el		doozan/es-en.data	wiktionary-gender
abusón	m	el		doozan/es-en.data	wiktionary-gender
abuta	f	la		doozan/es-en.data	wiktionary-gender
abyad	m	el		doozan/es-en.data	wiktionary-gender
abyección	f	la		doozan/es-en.data	wiktionary-gender
abysmo	m	el		doozan/es-en.data	wiktionary-gender
abzima	f	la		doozan/es-en.data	wiktionary-gender
abáculo	m	el		doozan/es-en.data	wiktionary-gender
abásida	m	el		doozan/es-en.data	wiktionary-gender
abésoda	f	la		doozan/es-en.data	wiktionary-gender
abéñola	f	la		doozan/es-en.data	wiktionary-gender
abéñula	f	la		doozan/es-en.data	wiktionary-gender
acabada	f	la		doozan/es-en.data	wiktionary-gender
acabado	m	el		doozan/es-en.data	wiktionary-gender
acabadura	f	la		doozan/es-en.data	wiktionary-gender
acabamiento	m	el		doozan/es-en.data	wiktionary-gender
acabo	m	el		doozan/es-en.data	wiktionary-gender
acabose	m	el		doozan/es-en.data	wiktionary-gender
acacia	f	la		doozan/es-en.data	wiktionary-gender
academia	f	la		doozan/es-en.data	wiktionary-gender
academicismo	m	el		doozan/es-en.data	wiktionary-gender
academicista	mf	el/la		doozan/es-en.data	wiktionary-gender
academista	mf	el/la		doozan/es-en.data	wiktionary-gender
acadiano	m	el	acadiana	doozan/es-en.data	meta-f=+
acadio	m	el		doozan/es-en.data	wiktionary-gender
académico	m	el	académica	doozan/es-en.data	meta-f=+
acaecimiento	m	el		doozan/es-en.data	wiktionary-gender
acahual	m	el		doozan/es-en.data	wiktionary-gender
acal	m	el		doozan/es-en.data	wiktionary-gender
acalasia	f	la		doozan/es-en.data	wiktionary-gender
acalifa	f	la		doozan/es-en.data	wiktionary-gender
acaloramiento	m	el		doozan/es-en.data	wiktionary-gender
acambarense	mf	el/la		doozan/es-en.data	wiktionary-gender
acampada	f	la		doozan/es-en.data	wiktionary-gender
acampamento	m	el		doozan/es-en.data	wiktionary-gender
acampante	mf	el/la		doozan/es-en.data	wiktionary-gender
acanaladura	f	la		doozan/es-en.data	wiktionary-gender
acano	m	el		doozan/es-en.data	wiktionary-gender
acantilado	m	el		doozan/es-en.data	wiktionary-gender
acantilados	m	el		doozan/es-en.data	wiktionary-gender
acantisita	m	el		doozan/es-en.data	wiktionary-gender
acantita	f	la		doozan/es-en.data	wiktionary-gender
acanto	m	el		doozan/es-en.data	wiktionary-gender
acantocito	m	el		doozan/es-en.data	wiktionary-gender
acantocéfalo	m	el		doozan/es-en.data	wiktionary-gender
acantonamiento	m	el		doozan/es-en.data	wiktionary-gender
acantosis	f	la		doozan/es-en.data	wiktionary-gender
acaparación	f	la		doozan/es-en.data	wiktionary-gender
acaparador	m	el		doozan/es-en.data	meta-f=+
acaparadora	f	la		doozan/es-en.data	wiktionary-gender
acaparamiento	m	el		doozan/es-en.data	wiktionary-gender
acapulqueño	m	el	acapulqueña	doozan/es-en.data	meta-f=+
acarbosa	f	la		doozan/es-en.data	wiktionary-gender
acariciador	m	el		doozan/es-en.data	meta-f=+
acaricida	m	el		doozan/es-en.data	wiktionary-gender
acarnanio	m	el	acarnania	doozan/es-en.data	meta-f=+
acarofobia	f	la		doozan/es-en.data	wiktionary-gender
acarreo	m	el		doozan/es-en.data	wiktionary-gender
acartonamiento	m	el		doozan/es-en.data	wiktionary-gender
acatamiento	m	el		doozan/es-en.data	wiktionary-gender
acateco	m	el	acateca	doozan/es-en.data	meta-f=+
acatisia	f	la		doozan/es-en.data	wiktionary-gender
acazanate	m	el		doozan/es-en.data	wiktionary-gender
acceleración	f	la		doozan/es-en.data	wiktionary-gender
accelerador	m	el		doozan/es-en.data	wiktionary-gender
accelerator	m	el		doozan/es-en.data	wiktionary-gender
accento	m	el		doozan/es-en.data	wiktionary-gender
accepción	f	la		doozan/es-en.data	wiktionary-gender
acceptación	f	la		doozan/es-en.data	wiktionary-gender
acceptador	m	el		doozan/es-en.data	meta-f=+
accesibilidad	f	la		doozan/es-en.data	wiktionary-gender
accesitario	m	el		doozan/es-en.data	wiktionary-gender
accesión	f	la		doozan/es-en.data	wiktionary-gender
acceso	m	el		doozan/es-en.data	wiktionary-gender
accesoriedad	f	la		doozan/es-en.data	wiktionary-gender
accesorio	m	el		doozan/es-en.data	wiktionary-gender
accidentabilidad	f	la		doozan/es-en.data	wiktionary-gender
accidental	m	el		doozan/es-en.data	wiktionary-gender
accidentalidad	f	la		doozan/es-en.data	wiktionary-gender
accidentalismo	m	el		doozan/es-en.data	wiktionary-gender
accidentalista	mf	el/la		doozan/es-en.data	wiktionary-gender
accidente	m	el		doozan/es-en.data	wiktionary-gender
accionador	m	el		doozan/es-en.data	wiktionary-gender
accionamiento	m	el		doozan/es-en.data	wiktionary-gender
accionante	mf	el/la		doozan/es-en.data	wiktionary-gender
accionariado	m	el		doozan/es-en.data	wiktionary-gender
accionario	m	el	accionaria	doozan/es-en.data	meta-f=+
accionismo	m	el		doozan/es-en.data	wiktionary-gender
accionista	mf	el/la		doozan/es-en.data	wiktionary-gender
acciopopulista	mf	el/la		doozan/es-en.data	wiktionary-gender
accipopulista	mf	el/la		doozan/es-en.data	wiktionary-gender
accitano	m	el	accitana	doozan/es-en.data	meta-f=+
acción	f	la		doozan/es-en.data	wiktionary-gender
accésit	m	el		doozan/es-en.data	wiktionary-gender
ace	m	el		doozan/es-en.data	wiktionary-gender
acebedo	m	el		doozan/es-en.data	wiktionary-gender
acebibe	m	el		doozan/es-en.data	wiktionary-gender
acebiño	m	el		doozan/es-en.data	wiktionary-gender
acebo	m	el		doozan/es-en.data	wiktionary-gender
acebuchal	m	el		doozan/es-en.data	wiktionary-gender
acebuche	m	el		doozan/es-en.data	wiktionary-gender
acechador	m	el		doozan/es-en.data	meta-f=+
acechanza	f	la		doozan/es-en.data	wiktionary-gender
aceche	m	el		doozan/es-en.data	wiktionary-gender
acecho	m	el		doozan/es-en.data	wiktionary-gender
acedera	f	la		doozan/es-en.data	wiktionary-gender
acederaque	m	el		doozan/es-en.data	wiktionary-gender
acedo	m	el		doozan/es-en.data	wiktionary-gender
acedía	f	la		doozan/es-en.data	wiktionary-gender
acefalia	f	la		doozan/es-en.data	wiktionary-gender
acefalía	f	la		doozan/es-en.data	wiktionary-gender
aceifa	f	la		doozan/es-en.data	wiktionary-gender
aceitazo	m	el		doozan/es-en.data	wiktionary-gender
aceite	m	el		doozan/es-en.data	wiktionary-gender
aceitera	f	la		doozan/es-en.data	wiktionary-gender
aceitero	m	el	aceitera	doozan/es-en.data	meta-f=+
aceituna	f	la		doozan/es-en.data	wiktionary-gender
aceitunero	m	el	aceitunera	doozan/es-en.data	meta-f=+
aceituno	m	el		doozan/es-en.data	wiktionary-gender
aceleracionismo	m	el		doozan/es-en.data	wiktionary-gender
aceleración	f	la		doozan/es-en.data	wiktionary-gender
acelerador	m	el		doozan/es-en.data	wiktionary-gender
aceleramiento	m	el		doozan/es-en.data	wiktionary-gender
acelerante	m	el		doozan/es-en.data	wiktionary-gender
acelerógrafo	m	el		doozan/es-en.data	wiktionary-gender
acelerómetro	m	el		doozan/es-en.data	wiktionary-gender
acelerón	m	el		doozan/es-en.data	wiktionary-gender
acelga	f	la		doozan/es-en.data	wiktionary-gender
acembuche	m	el		doozan/es-en.data	wiktionary-gender
acemilero	m	el	acemilera	doozan/es-en.data	meta-f=+
acemite	m	el		doozan/es-en.data	wiktionary-gender
acenafteno	m	el		doozan/es-en.data	wiktionary-gender
acendría	f	la		doozan/es-en.data	wiktionary-gender
aceno	m	el		doozan/es-en.data	wiktionary-gender
acenocumarol	m	el		doozan/es-en.data	wiktionary-gender
acento	m	el		doozan/es-en.data	wiktionary-gender
acentor	m	el		doozan/es-en.data	wiktionary-gender
acentuación	f	la		doozan/es-en.data	wiktionary-gender
acepción	f	la		doozan/es-en.data	wiktionary-gender
acepromazina	f	la		doozan/es-en.data	wiktionary-gender
aceptabilidad	f	la		doozan/es-en.data	wiktionary-gender
aceptación	f	la		doozan/es-en.data	wiktionary-gender
aceptador	m	el		doozan/es-en.data	meta-f=+
aceptor	m	el		doozan/es-en.data	wiktionary-gender
acequia	f	la		doozan/es-en.data	wiktionary-gender
acera	f	la		doozan/es-en.data	wiktionary-gender
acerbidad	f	la		doozan/es-en.data	wiktionary-gender
acercamiento	m	el		doozan/es-en.data	wiktionary-gender
acere	m	el		doozan/es-en.data	wiktionary-gender
acerero	m	el		doozan/es-en.data	wiktionary-gender
acerería	f	la		doozan/es-en.data	wiktionary-gender
acerico	m	el		doozan/es-en.data	wiktionary-gender
acerillo	m	el		doozan/es-en.data	wiktionary-gender
acerina	f	la		doozan/es-en.data	wiktionary-gender
acero	m	el		doozan/es-en.data	wiktionary-gender
acerola	f	la		doozan/es-en.data	wiktionary-gender
acerolo	m	el		doozan/es-en.data	wiktionary-gender
acerrojamiento	m	el		doozan/es-en.data	wiktionary-gender
acertante	mf	el/la		doozan/es-en.data	wiktionary-gender
acertijo	m	el		doozan/es-en.data	wiktionary-gender
acervo	m	el		doozan/es-en.data	wiktionary-gender
acería	f	la		doozan/es-en.data	wiktionary-gender
acesulfamo	m	el		doozan/es-en.data	wiktionary-gender
acetal	m	el		doozan/es-en.data	wiktionary-gender
acetaldehído	m	el		doozan/es-en.data	wiktionary-gender
acetalización	f	la		doozan/es-en.data	wiktionary-gender
acetamida	f	la		doozan/es-en.data	wiktionary-gender
acetaminofeno	m	el		doozan/es-en.data	wiktionary-gender
acetaminofén	m	el		doozan/es-en.data	wiktionary-gender
acetato	m	el		doozan/es-en.data	wiktionary-gender
acetazolamida	f	la		doozan/es-en.data	wiktionary-gender
acetil	m	el		doozan/es-en.data	wiktionary-gender
acetilación	f	la		doozan/es-en.data	wiktionary-gender
acetilcisteína	f	la		doozan/es-en.data	wiktionary-gender
acetilcolina	f	la		doozan/es-en.data	wiktionary-gender
acetilcolinesterasa	f	la		doozan/es-en.data	wiktionary-gender
acetileno	m	el		doozan/es-en.data	wiktionary-gender
acetilgalactosamina	f	la		doozan/es-en.data	wiktionary-gender
acetilglucosamina	f	la		doozan/es-en.data	wiktionary-gender
acetilmanosamina	f	la		doozan/es-en.data	wiktionary-gender
acetilmetadol	m	el		doozan/es-en.data	wiktionary-gender
acetilneuraminato	m	el		doozan/es-en.data	wiktionary-gender
acetilo	m	el		doozan/es-en.data	wiktionary-gender
acetilsalicilato	m	el		doozan/es-en.data	wiktionary-gender
acetiltransferasa	f	la		doozan/es-en.data	wiktionary-gender
acetiluro	m	el		doozan/es-en.data	wiktionary-gender
acetoacetato	m	el		doozan/es-en.data	wiktionary-gender
acetofenona	f	la		doozan/es-en.data	wiktionary-gender
acetona	f	la		doozan/es-en.data	wiktionary-gender
acetonitrilo	m	el		doozan/es-en.data	wiktionary-gender
acetosa	f	la		doozan/es-en.data	wiktionary-gender
acetre	m	el		doozan/es-en.data	wiktionary-gender
acetrero	m	el		doozan/es-en.data	wiktionary-gender
acetábulo	m	el		doozan/es-en.data	wiktionary-gender
acetímetro	m	el		doozan/es-en.data	wiktionary-gender
acetónido	m	el		doozan/es-en.data	wiktionary-gender
aceña	f	la		doozan/es-en.data	wiktionary-gender
achacacheño	m	el	achacacheña	doozan/es-en.data	meta-f=+
achachairú	m	el		doozan/es-en.data	wiktionary-gender
achaque	m	el		doozan/es-en.data	wiktionary-gender
achara	f	la		doozan/es-en.data	wiktionary-gender
achatamiento	m	el		doozan/es-en.data	wiktionary-gender
achelense	m	el		doozan/es-en.data	wiktionary-gender
achense	mf	el/la		doozan/es-en.data	wiktionary-gender
achenés	m	el		doozan/es-en.data	wiktionary-gender
achicadura	f	la		doozan/es-en.data	wiktionary-gender
achicamiento	m	el		doozan/es-en.data	wiktionary-gender
achichincle	mf	el/la		doozan/es-en.data	wiktionary-gender
achichinque	mf	el/la		doozan/es-en.data	wiktionary-gender
achichintle	mf	el/la		doozan/es-en.data	wiktionary-gender
achicoria	f	la		doozan/es-en.data	wiktionary-gender
achinado	m	el	achinada	doozan/es-en.data	meta-f=+
achiote	m	el		doozan/es-en.data	wiktionary-gender
achira	f	la		doozan/es-en.data	wiktionary-gender
acho	m	el	acha	doozan/es-en.data	meta-f=+
achocha	f	la		doozan/es-en.data	wiktionary-gender
achoclonamiento	m	el		doozan/es-en.data	wiktionary-gender
achogcha	f	la		doozan/es-en.data	wiktionary-gender
achojcha	f	la		doozan/es-en.data	wiktionary-gender
acholo	m	el		doozan/es-en.data	wiktionary-gender
achoque	m	el		doozan/es-en.data	wiktionary-gender
achu	m	el		doozan/es-en.data	wiktionary-gender
achuchón	m	el		doozan/es-en.data	wiktionary-gender
